"","year","country","sum_cases"
"313",2014,"Hungary",3994
"314",2014,"Japan",33764
"315",2014,"Mexico",69945
"316",2014,"Netherlands",1680
"317",2014,"New.Zealand",3322
"318",2014,"Norway",4072
"319",2014,"Paraguay",13242
"320",2014,"Peru",6555
"321",2014,"Poland",1536
"322",2014,"Romania",34484
"323",2014,"Russia",30966
"324",2014,"South.Africa",155577
"325",2014,"Spain",3010
"326",2014,"Sweden",266
"327",2014,"Switzerland",3870
"328",2014,"Ukraine",20112
"329",2014,"United.States",99848
"330",2014,"Uruguay",5390
"331",2015,"Argentina",4841
"332",2015,"Australia",20355
"333",2015,"Austria",40143
"334",2015,"Belgium",11111
"335",2015,"Bolivia",6407
"336",2015,"Brazil",6603
"337",2015,"Bulgaria",16569
"338",2015,"Canada",68006
"339",2015,"Chile",431
"340",2015,"France",10760
"341",2015,"Germany",28453
"342",2015,"Hungary",6098
"343",2015,"Japan",24139
"344",2015,"Mexico",43436
"345",2015,"Netherlands",1666
"346",2015,"New.Zealand",807
"347",2015,"Norway",4094
"348",2015,"Paraguay",9894
"349",2015,"Peru",4020
"350",2015,"Poland",1956
"351",2015,"Romania",23679
"352",2015,"Russia",21447
"353",2015,"South.Africa",98940
"354",2015,"Spain",4863
"355",2015,"Sweden",328
"356",2015,"Switzerland",6390
"357",2015,"Ukraine",12101
"358",2015,"United.States",61295
"359",2015,"Uruguay",4195
